Vendor,Model,Context (tokens),Input Price ($/1M),Output Price ($/1M),Release Date,Status
Google,Gemini Enterprise,1000000,0.075,0.3,10/8/25,Platform for internal-data conversational deployments
Anthropic,Claude Haiku 4.5,200000,0.8,4,10/15/25,"Released Oct 15 2025; compact, cost-effective on free plans"
Google,Gemini 2.5 Computer Use,1000000,0.3,2.5,10/6/25,Specialized UI-interaction model via API since Oct 6 2025
Zhipu AI,GLM-4.6,200000,0.6,2.2,9/30/25,"Released September 30, 2025"
OpenAI,GPT-5-Codex,400000,1.25,10,9/15/25,Available in Responses API since Sep 23 2025
Mistral,Mistral NeMo,128000,0.3,0.3,7/18/24,Supported
OpenAI,GPT-5,400000,10,40,8/7/25,"Current flagship model, default in ChatGPT"
OpenAI,GPT-5 Mini,400000,2,8,8/7/25,Supported variant
OpenAI,GPT-5 Nano,400000,0.5,2,8/7/25,Supported light variant
OpenAI,GPT-5-Codex Mini,"400,000",0.5,2,11/7/25,"lightweight, efficient coding-focused variant of GPT-5 Codex; designed for fast code generation with cost efficiency; available via API and IDEsÊ"
Google,Gemini 2.5 Pro (200k),1000000,1.25,10,6/17/25,"Stable release, actively supported"
Google,Gemini 2.5 Pro (>200k),1000000,2.5,15,6/17/25,Supported
xAI (Grok),Grok 4 Heavy,256000,6,30,7/9/25,Released
Alibaba,Qwen2.5-Omni-7B,131000,0,0,3/27/25,"Released with open weights, supported"
Anthropic,Claude Opus 4.1,200000,15,75,8/5/25,"Latest release, available on API, Amazon Bedrock, Google Cloud"
xAI (Grok),Grok 4,256000,3,15,7/9/25,"Recently released, actively supported"
Mistral,Mistral Small 3.2,128000,0.1,0.3,7/18/25,Supported
OpenRouter,Horizon Alpha,256000,0,0,7/10/25,Likely in development or limited access
OpenRouter,Horizon Beta,256000,0,0,7/10/25,Likely in development
Zhipu AI,GLM-4.5-Flash,128000,3.2,12.8,7/4/25,Supported
Vercel,v0-1.5-md (Medium-sized Model),128000,1.5,7.5,7/1/25,Supported
Vercel,v0-1.5-lg (Large-sized Model),512000,15,75,7/1/25,Supported
Google,Gemini 2.5 Flash (GA),1000000,0.3,2.5,6/18/25,Stable general availability
Google,Gemini 2.5 Flash-Lite (w/o Reasoning),1000000,0.1,0.4,6/18/25,Supported
Google,Gemini 2.5 Flash-Lite (w/ Reasoning),1000000,0.1,3.5,6/18/25,Supported
OpenAI,o3-Pro,200000,20,80,6/10/25,Launched June 10 2025 for Pro users
Moonshot AI,Kimi K2-0905,256000,0.6,2.5,5/29/25,"Direct from creator, consistent performance"
Alibaba,Qwen3_Coder_480B_A35B_Instruct,256000,1,5,7/22/25,Supported
DeepSeek,DeepSeek V3.1 (Non-thinking),128000,0.07,0.56,8/21/25,"Current main version, actively supported"
DeepSeek,DeepSeek V3.1 (Thinking),128000,0.14,0.55,8/21/25,Active variant with enhanced reasoning
Meta,LLaMA 4 Maverick,1000000,0.23,0.85,5/23/25,"Released 2025, actively supported"
Cohere,Command R7B 12-2024,128000,0.0375,0.15,12/13/24,Supported
NVIDIA,Llama 3.2 3B Instruct (BF16),131000,0.015,0.025,4/20/25,Supported
Alibaba,Qwen3_235B_A22B_Instruct_FP8,131072,0.12,0.59,7/22/25,Supported
Alibaba,Qwen3_30B_A3B (MoE),131072,0.08,0.29,7/31/25,Supported
Alibaba,Qwen3_32B (dense),131072,0.027,0.027,7/22/25,Supported
Meta,LLaMA 3.2 90B Vision,128000,0.53,0.56,3/28/25,Supported
Alibaba,Qwen2.5_Max,32768,1.6,6.4,1/28/25,Supported
Mistral,Mixtral 8x22B,65000,2,6,3/14/25,Supported
OpenAI,GPT-4.1,1000000,2,8,3/12/25,"Replaced by GPT-5, deprecated after July 2025"
OpenAI,GPT-4.1 Mini,1000000,0.4,1.6,3/12/25,Deprecated post GPT-5 release
OpenAI,GPT-4.1 Nano,1000000,0.1,0.4,3/12/25,Deprecated
Anthropic,Claude Sonnet 4.5,1000000,3,15,9/29/25,Live and default for most Sonnet endpoints; 1M context beta
Zhipu AI,GLM-4.5-AirX,128000,0.02,0.06,3/3/25,Supported
Meta,LLaMA 3.2 11B Vision,128000,0.1,0.1,2/21/25,Supported
Mistral,Mistral Large 2,128000,2,6,2/20/25,Supported
NVIDIA,Llama 3.1 405B Instruct (FP8),131000,0.8,0.8,2/14/25,Supported
Amazon,Nova Pro,300000,0.8,3.2,12/3/24,Supported
DeepSeek,DeepSeek V3,128000,0.14,0.28,1/19/25,Superseded
Meta,LLaMA 4 Scout,10000000,0.15,0.5,1/17/25,"Released early 2025, actively supported"
Anthropic,Claude Sonnet 4,200000,3,15,5/22/25,Supported
NVIDIA,Llama 3.1 Nemotron 70B Instruct,131000,0.12,0.3,1/3/25,Supported
